judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
ONTOLOGY SEMANTIC WEB UNTUK PENCARIAN TUGAS AKHIR PADA SISTEM INFORMASI TUGAS AKHIR(SIMTAK),Penulis : Daniyar Bagus Prasetya,"Dosen Pembimbing I : Firdaus Solihin S.kom,.M.kom","Dosen Pembimbing II :Kurniawan Eka P. S.kom,.M.sc","Kebutuhan pencarian data pada internet yang cepat dan tepat saat ini menjadi faktor penting para pengguna layanan internet. Sistem Informasi Tugas Akhir (SIMTAK) yang digunakan di Fakultas Teknik Universitas Trunojoyo Madura juga membutuhkan pencarian data yang tepat dan cepat berdasarkan konteks. Sistem pencarian yang dipakai saat ini adalah pencarian database dimana masih belum mampu memberikan hasil pencarian yang sesuai dengan konteks atau keywords yang diinputkan. Untuk memiliki kebenaran dalam sistem kecerdasan, pengetahuan perlu ditangkap, diproses, digunakan kembali, dan disampaikan. Ontologi mendukung semua tugas ini. Ontologi adalah spesifikasi dari konseptualisasi. Semantik web adalah sebuah abstrak representasi pada World Wide Web (WWW) yang berbasiskan pada sebuah standar yang didefinisikan menggunakan Resource Description Framework (RDF) dan Ontology Web Language (OWL) ide dasarnya adalah untuk membawa web memiliki definisi dan link data sehingga dapat digunakan lebih efektif untuk mencari, otomasi, integrasi dan reuse informasi pada berbagai aplikasi. Semantik web didefinisikan sebagai sekumpulan teknologi, dimana memungkinkan komputer memahami arti dari sebuah informasi berdasarkan metadata, yaitu informasi mengenai isi informasi seperti judul, pengarang, modifikasi tanggal pada halaman web, dan hak cipta pada halaman web. Dengan menggunakan semantik web, pencarian tugas akhir ini mampu memberikan hasil berdasarkan persamaan makna kata pada keyword yang diinputkan oleh user.
Kata Kunci : Mesin pencari, Semantic web, Tugas akhir.
ABSTRACT","In this time, The need for data search on the internet for quickly and accurately being important factor of internet service users. Sistem Informasi Tugas Akhir(SIMTAK) was used by Engineering faculty Trunojoyo University from Madura, need to find data most quickly and accurate too based on context. Search engine was used is database search where couldn’t able to give search result for context or keywords from users input. To have a true in intelligence system, the knowledge need to catched, processed, used and learned. Ontology was support to all these jobs. Ontology is specification of conceptualitation, Semantic web is a representation of abstract for world wide web(www) for based standart where define using Resource Description Framework(RDF) and Ontology Web Language(OWL). The based idea is to bringing web have definition and data link so gets to used more efectif to find, otomation, integrate, and reuse information for a kind application. Semantic web is define to set of technology, where possible to computer understanding the meaning of information by metadata, that’s information about contents in information like a tittle, author, modifie of date on web page, and copiryght for web page. By using semantic web, the search of this final project can gived a result based for equation of the word meaning for input keyword by users.
Keywords: Search engine, Semantic web, Final project."
,,,,,
"SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI MENU DIET BAGI PASIEN RAWAT INAP MENGGUNAKAN METODE HARRIS BENEDICT DAN EUCLIDEAN (Studi Kasus : RSUD Dr. H. Moh. Anwar Sumenep)
",Penulis : Desy Mariana S. Kom,"Dosen Pembimbing I : Haryanto ST, MT","Dosen Pembimbing II :Firli Irhamni ST, M. Kom","Pelayanan makanan bagi pasien rawat inap di Rumah Sakit mempunyai tujuan untuk memberikan menu diet yang sesuai dengan syarat gizi minimal dan sesuai dengan penyakit yang diderita pasien. 
Sampai saat ini menu yang disediakan pihak rumah sakit kurang memperhatikan kebutuhan kalori pasiennya per individu. Sehingga mengakibatkan penyediaan makanan kepada pasien tidak sesuai dengan kebutuhan kalori perhari dari pasien. Oleh karena itu dibuatlah sistem pendukung keputusan untuk rekomendasi menu diet pasien sebagai alat bantu dalam penyediaan menu makanan bagi pasien
Metode yang digunakan yaitu metode Harris Benedict untuk perhitungan total kalori pasien dan metode Euclidean untuk perankingannya, maka diharapkan aplikasi sistem pendukung keputusan yang dibuat ini mampu untuk merekomendasikan menu diet kepada pasien beserta penjelasan mengenai kebutuhan kalori perhari untuk asupan makanan perhari dan makanan yang harus dibatasi.

Kata kunci :  Sistem Pendukung Keputusan, Harris Benedict dan Euclidean
","Food service for patients hospitalized at the Hospital has the objective to provide an appropriate diet with minimal nutritional requirements and in accordance with the patient's  illness.
Until recently menu provided by the hospital less attention to caloric needs per individualpatient. Thus resulting in the provision of food to patients not in accordance with the needs of the patient's daily calories. Therefore made a decision support system forpatient's diet recommendations as a tool in the provision of meals for patients.
The method used is the Harris Benedict method for the calculation of total calories for the patient and Perankingannya Euclidean method, it is expected that application ofdecision support system that made it able to recommend the diet to the patient along with an explanation of the need for daily calorie intake per day and the food should be limited.

 
Keywords: Decision Support Systems, Harris Benedict and Euclidean
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sistem Peramalan Penjualan Menggunakan Metode Jaringan Syaraf Tiruan Dengan Algoritma Backpropagation,Penulis : Dimas Taufany Putra,Dosen Pembimbing I : Fika Hastarita,Dosen Pembimbing II :Bain Khusnul Khotimah,"Produk Olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. Peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan produk,maka akan menyebabkan inventorydi gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan produk pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan dengan algoritma Backpropagation dengan momentum untuk meramalkan jumlah penjualan produk pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa  dengan menggunakan semua data sebagai data training dan menggunakan learning rate 0.8 dan dengan epoh 18 akan menghasilkan tingkat kesalahan 56827.343. hasil ini menunjukkan hasil terbaik dari beberapa skenario ujicoba sistem, namum belum menunjukkan hasil terbaik dari skenario yang lain dengan meningkatkan epoch supaya mendapatkan hasil yang lebih baik.

Kata kunci : Peramalan, Jaringan Syaraf Tiruan, Backpropagation, Momentum, Penjualan Produk Olahraga.
","Product Sports is one important part of an athlete organs. An increasing number of product sales that caused unexpected difficulties in the best service to consumers. Vice versa, if a decline in the number of sales of the product, it will cause the inventory in the warehouse. Therefore we need a forecasting system that is able to predict product sales in the next period. The forecasting system using Artificial Neural Network with Backpropagation with momentum algorithm to predict the amount of product sales in the next month. Stored data is calculated using the epoch and the different learning rate. From the test system, it can be concluded that by using all the data as training data and using learning rate 0.8 and the epoch 18 will result in an error rate of 56827,343. The results show the best results of several scenarios testing the system, yet has not shown the best results of other scenarios with increasing epoch in order to get better results.

Keywords:Forecasting, Neural Networks, Backpropagation, Momentum, Product Sales Sports..
"
,,,,,
PENGEMBANGAN VIRTUAL CLASS UNTUK PEMBELAJARAN INTERAKTIF MATA PELAJARAN MATEMATIKA SISWA SMP BERBASIS SECOND LIFE,Penulis : Dwi Adi Permana,"Dosen Pembimbing I : Arik Kurniawati,S.Kom, M.Kom",Dosen Pembimbing II :Dr. Indah Aguestien S,"Internet berkembang dengan cepat beberapa tahun belakangan ini. Banyak hal yang dapat dilakukan dengan internet dari bergabung dengan situs jejaring sosial, bermain games online, belanja melalui shop online, download dan browsing info-info yang dibutuhkan. Bukan hanya itu dunia pendidikan juga ikut meramaikan dunia internet, seperti pembelajaran jarak jauh, virtual class, games pendidikan dan lain-lain. Dalam tugas akhir ini membangun aplikasi virtual class matematika untuk siswa SMP berbasis second life. Tujuan utama dari tugas akhir ini adalah untuk membuat suatu media pembelajaran dengan menerapkan teknologi yang ada yaitu, mata pelajaran yang virtual class matematika berbasis second life. Virtual Class ini dibuat secara online dengan menggunakan Second Life. Aplikasi virtual class ini terbagi dari 6 bab materi mata pelajaran matematika, khususnya untuk siswa SMP kelas VII. Didalam virtual class ini terdapat soal evaluasi untuk setiap babnya.Jika nilai evaluasi kurang dari KKM (Kriteria Kelulusan Minimal) maka siswa wajib melakukan pendalaman materi dan evaluasi ulang. Disini KKM nya menggunakan KKM mata pelajaran matematika untuk siswa VII SMP Negeri 1 Tulangan, yaitu dengan Nilai 75. Kendala dari uji coba aplikasi ini adalah kurangnya koneksi internet yang kuat, karena Aplikasi bersifat online dan memperlukan konekasi internet yang lumayan tinggi

Kata Kunci :  Internet, Virtual Class, Second Life, matematika

","Internet grows rapidly in recent years. Many things can be done with the Internet from joining social networking sites, playing online games, shopping through online shop, download and browse info that needed. Not only education, but also enliven the world of the Internet, such as distance learning, virtual class, educational games and others. In this final project, it will be built virtual class application of mathematics to junior high school students based on second life. The main objective of this thesis is to create a learning media by applying existing technologies, namely, the subject mathematics class-based virtual second life. Virtual Class is made online using Second Life. With this virtual math class can change the view of mathematics students who are usually considered to be a boring subject to be fun because in virtual math class is presented with a graphical display of interest such as pictures or animations that are able to meet the needs of students in learning mathematics.
Keywords: Internet, Virtual Class, Second Life, math
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PENJADWALAN PRODUKSI ROKOK MENGGUNAKAN METODE SHORTEST PROCESSING TIME UNTUK MENDUKUNG PENERAPAN SUPPLY CHAIN MANAGEMENT,Penulis : Erwin Andriyansyah,"Dosen Pembimbing I : Ba’in Khusnul Khotimah, ST., M.Kom.","Dosen Pembimbing II :Yeni Kustiyahningsih, S.kom., M.kom.","Dalam pola supply chain management terdapat aktivitas penjadwalan produksi. Perubahan penjadwalan pada produksi merupakan hal yang sering terjadi untuk memenuhi permintaan konsumen, Penjadwalan produksi merupakan salah satu fungsi dari pengawasan produksi yang mempunyai peranan yang cukup penting dalam  memaksimalkan pendapatan penjualan, dan meminimalkan biaya produksi, dan proses produksi akan berjalan dengan efisien. Sedangkan proses produksi berjalan dengan efisien, maka proses supply chain management mengalir dengan lancar. Permasalahan yang ada di perusahaan rokok gudang alam, tidak adanya penjadwalan produksi pada perusahaan tersebut, dan pihak sales tidak tahu kapan barang akan dikirim. Dan pihak pemesan atau agen tidak mengetahui kapan barangnya bisa diterima, sehingga proses supply chain management tidak berjalan dengan baik. Dalam penelitian ini, diadakan   pengalokasian bahan-bahan baku dan bahan-bahan pembantu, serta kelengkapan pengolahan  di setiap instalasi atau fasilitas yang telah ditentukan untuk menunjang proses supply chain berjalan dengan baik. Hasil dari penjadwalan meliputi jumlah produk yang dihasilkan dan pengolahan pada produk tersebut, terutama pada bagian yang didahulukan dalam proses produksi untuk melakukan penjadwalan produksi rokok. Yang pada pengurutannya menggunakan metode shortest processing time, menghasilkan penjadwalan produksi rokok yang meminimalisir keterlambatan sesuai dengan permintaan konsumen.

Kata Kunci: Penjadwaln produksi, Shortest Processing Time, supply chain management
","Production scheduling activity is provided in the supply chain management pattern. The change of scheduling in one of production activity is likely to happen to complete customer’s demand. Productivity scheduling is one of the function of productivity supervising that has an important role in maximizing selling profit, and minimizing production expenses, and its process is working out efficiently. Supply chain management process will be working well, if production process is working efficiently. The problem of cigarette company happens if unavailability of scheduling production occurs, so that sales party cannot confirm when the goods will be delivered. And the buyer party do not recognize when they can hand the goods, it makes SCM process is not working out well. In this research, held the allocation of raw and auxiliary materials, as well as, the completeness of processing in every installation to push the supply chain process. The results of the scheduling covers the numbers of product and how to apply the process, especially which part of it will be scheduled for the production of cigarette. The method is using shortest processing time, produces cigarette production scheduling which minimizes delay in accordance with consumer demand.

Keywords: production scheduling, shortest processing time, supply chain management
"
,,,,,
DETEKSI COREPOINT SIDIK JARI MENGGUNAKAN METODE GEOMETRY OF REGION TECHNIQUE (GR),Penulis : Erwina Safitri,"Dosen Pembimbing I : Dr. Indah Agustien, S.Kom., M.Kom","Dosen Pembimbing II :Fitri Damayanti, S.Kom., M.Kom","Sidik jari adalah salah satu karakteristik fisik manusia yang saat ini banyak digunakan untuk identifikasi manusia, karena sidik jari mempunyai karakteristik yang tidak dapat berubah kecuali jika luka atau rusak akibat kecelakaan. Sidik jari sangat diperlukan untuk berbagai kasus tindak kriminal, seperti pencurian, kecurangan administrasi. Sehingga adanya proses pendeteksian sidik jari dapat memudahkan pihak-pihak yang berwajib untuk menangani beberapa kasus tersebut. Proses pendeteksian ini di lakukan dalam program komputer dengan melakukan beberapa tahap perhitungan. Penentuan titik tengah atau yang biasa di kenal dengan Corepoint adalah sebuah proses awal yang sangat berperan penting dalam proses identifikasi manusia. Terdapat dua cara untuk menentukan Corepoint atau titik tengah sidik jari yaitu secara manual dan otomatis. Secara manual dapat di lakukan dengan kasat mata. sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada Tugas Akhir ini untuk menentukan Corepoint sidik jari secara otomatis digunakan metode Geometry Of Region Technique (GR).Citra yang digunakan pada Tugas Akhir diperoleh dari “database FVC-2002 fingerprint-bitmaps”. Hasil uji coba sistem yang terbaik untuk deteksi Corepoint sidik jari menggunakan metode Geometry Of Region Technique (GR) dengan M0=50 dan V0=50 pada proses normalisasi dan menggunakan ukuran blok 3 x 3 pixel. Hasil akurasi sistem yang didapatkan sebesar 70%.
Kata Kunci : Sidik jari, Corepoint, Geometry Of Region Technique (GR), Normalisasi","Fingerprints are one of the physical characteristics of human that are used for human identification, because it has a characteristic that cannot be changed except when injured or damaged by accident. Fingerprints is required for variety of criminal cases, such as theft, fraud administration. So the process can facilitate the detection of a fingerprint to handle such cases. Detection process is done in a computer program to perform multiplestages of computation. Determination of the midpoint or commonly known as Corepoint is the first process which is very important in the process of human identification. There are two ways to determine the Corepoint or the midpoint of the fingerprints manually and automatically. Manually can be done with the naked eye and automatically can be set by using a system. In this final task is to determine Corepoint of the fingerprint automatically is used method Geometry of Region Technique (GR).Imagery was used in the final task which was gotten from the fingerprint database FVC-2002-bitmaps. The best observation system is obtained for the detection core point of fingerprint using the method Geometry of Region Technique M0=50 and V0=50 at normalization process and using the block dimension 3x3 pixel .The result of system accuration is gotten 70 percent.
Keywords: Fingerprint, Corepoint, Geometry Of Region Technique (GR), Normalization"
